,node,cCRE,fisher_stat,pval
8191,1673_n155,CA,2.876348625574632,0.0026090482691938526
3768,1596_n2859,CA-CTCF,2.865038996269922,0.033670931503802765
12982,2118_n2072,TF,2.865038996269922,0.033670931503802765
17962,579_n2138,exon,2.8441543235173583,3.0334969165048896e-08
8006,1488_n2604,CA,2.8074383037886688,0.0005764717933478474
11598,734_n660,TF,2.789366053169734,0.015353173032506967
12185,1321_n584,TF,2.789366053169734,0.015353173032506967
13028,2164_n792,TF,2.789366053169734,0.015353173032506967
12144,1280_n1350,TF,2.7806935332708527,0.0039458783371866335
11179,315_n302,TF,2.7806935332708527,0.0039458783371866335
8152,1634_n2665,CA,2.7806935332708527,0.0039458783371866335
627,628_n855,pELS,2.7655367231638417,5.975433466789822e-05
802,803_n2845,pELS,2.7633228840125392,0.00048449619023838587
7348,830_n1070,CA,2.753686727779992,0.0018455451078320919
3146,974_n1922,CA-CTCF,2.7474879860200963,0.02794066679791161
11483,619_n819,TF,2.7474879860200963,0.02794066679791161
7972,1454_n1221,CA,2.7423442449841606,0.00010677987605229776
9368,677_n1866,dELS,2.7293609713045344,5.60405481890078e-17
10950,86_n1545,TF,2.7076502732240435,0.01278601091746859
12931,2067_n2064,TF,2.6852354648441157,0.005919340523414964
10598,1907_n1753,dELS,2.674212412752311,2.3246531423497395e-16
7347,829_n1712,CA,2.6722408026755855,0.002758840392852195
7426,908_n2883,CA,2.664932362122789,0.0012906113033912738
11109,245_n2451,TF,2.6598569969356487,0.023119592328788817
11148,284_n2854,TF,2.6598569969356487,0.023119592328788817
3480,1308_n1924,CA-CTCF,2.6598569969356487,0.023119592328788817
9076,385_n2291,dELS,2.6104669243413747,2.4685541658108923e-16
12779,1915_n496,TF,2.6002327611288916,0.04200017392126997
13030,2166_n611,TF,2.6002327611288916,0.04200017392126997
12768,1904_n897,TF,2.6002327611288916,0.04200017392126997
12400,1536_n1708,TF,2.6002327611288916,0.04200017392126997
12940,2076_n974,TF,2.6002327611288916,0.04200017392126997
10936,72_n1189,TF,2.6002327611288916,0.04200017392126997
3758,1586_n1840,CA-CTCF,2.6002327611288916,0.04200017392126997
7154,636_n1048,CA,2.593901593901594,0.0019118739394142468
8288,1770_n2413,CA,2.593901593901594,0.0019118739394142468
14194,1157_n505,CA-H3K4me3,2.592175594222677,0.019094406209739845
11004,140_n838,TF,2.592175594222677,0.019094406209739845
7645,1127_n2696,CA,2.590963328295283,0.004093185120258848
18999,1616_n1626,exon,2.5497697484945094,0.00011216224610040911
9255,564_n1812,dELS,2.5425750719868367,6.3368638113659784e-15
12964,2100_n237,TF,2.5384615384615383,0.015749705522146405
17727,344_n448,exon,2.5343639627120607,1.6304757363512071e-06
12184,1320_n1859,TF,2.5306122448979593,0.0344306359984722
12126,1262_n2441,TF,2.5306122448979593,0.0344306359984722
12117,1253_n1388,TF,2.5306122448979593,0.0344306359984722
3701,1529_n687,CA-CTCF,2.5306122448979593,0.0344306359984722
12032,1168_n922,TF,2.5306122448979593,0.0344306359984722
12856,1992_n2156,TF,2.5306122448979593,0.0344306359984722
8253,1735_n999,CA,2.523018345448252,0.0028124546206344057
9462,771_n2337,dELS,2.49711356504659,1.1291154347461314e-13
1223,1224_n2767,pELS,2.495837669094693,0.00232713980467986
11842,978_n986,TF,2.494907969728114,0.012979011638252052
2676,504_n1409,CA-CTCF,2.4769370597591456,0.02821835829656776
12602,1738_n1108,TF,2.4769370597591456,0.02821835829656776
12235,1371_n239,TF,2.4769370597591456,0.02821835829656776
17609,226_n1302,exon,2.4615304311514774,2.9173533981395447e-05
8621,2103_n1857,CA,2.4589769996567115,0.010688540806800081
8194,1676_n47,CA,2.4512945547428306,0.0015887830990025727
7599,1081_n1195,CA,2.43843498273878,0.0005081869307273398
10941,77_n793,TF,2.4344262295081966,0.023126070532014483
14638,1601_n1521,CA-H3K4me3,2.4344262295081966,0.023126070532014483
1669,1670_n2155,pELS,2.428911645629912,0.008797738790677847
8051,1533_n1531,CA,2.416579223504722,0.0010812665566261475
6847,329_n907,CA,2.416579223504722,0.0010812665566261475
8178,1660_n17,CA,2.409313725490196,0.002791873665610656
11346,482_n2922,TF,2.4000373343289154,0.018953971795931168
1577,1578_n2205,pELS,2.4000373343289154,0.018953971795931168
11156,292_n1378,TF,2.4000373343289154,0.018953971795931168
7513,995_n1894,CA,2.3917884481558804,0.002299778969493894
8215,1697_n352,CA,2.371742112482853,0.015536246444644223
8185,1667_n1225,CA,2.3626834381551363,0.0015581597715916024
7646,1128_n2539,CA,2.3626834381551363,0.0015581597715916024
3395,1223_n2872,CA-CTCF,2.3619339462036093,0.04124123735344646
10879,15_n570,TF,2.3619339462036093,0.04124123735344646
11183,319_n1037,TF,2.3619339462036093,0.04124123735344646
18411,1028_n1176,exon,2.3601741022850926,2.2493880715702972e-05
9080,389_n2192,dELS,2.3446730260889552,3.998347818516715e-12
10995,131_n639,TF,2.330603889457523,0.03360371538196376
10872,8_n1494,TF,2.3053613053613056,0.02740719470729993
3508,1336_n757,CA-CTCF,2.3053613053613056,0.02740719470729993
6728,210_n2004,CA,2.2840895193836372,0.0057573050541441075
7790,1272_n2146,CA,2.2840895193836372,0.0057573050541441075
10036,1345_n70,dELS,2.2636733404414957,1.0702020727518316e-12
8353,1835_n34,CA,2.263597406878365,0.0038714540516326017
7064,546_n1199,CA,2.2552301255230125,0.003174487309299829
7748,1230_n2516,CA,2.2552301255230125,0.003174487309299829
9966,1275_n497,dELS,2.2375755213408692,1.867217990310535e-12
1808,1809_n2379,pELS,2.226993865030675,0.048291052887589156
10984,120_n105,TF,2.226993865030675,0.048291052887589156
12802,1938_n2134,TF,2.226993865030675,0.048291052887589156
10887,23_n2807,TF,2.226993865030675,0.048291052887589156
9910,1219_n1769,dELS,2.2256267409470754,7.921589555406625e-13
8321,1803_n2440,CA,2.221672469610897,0.008176457187222323
8595,2077_n1600,CA,2.221672469610897,0.008176457187222323
9326,635_n586,dELS,2.2192080689406746,8.672709826977057e-13
12240,1376_n993,TF,2.2108792846497765,0.039219957826272064
12375,1511_n2002,TF,2.2108792846497765,0.039219957826272064
7132,614_n194,CA,2.2108792846497765,0.039219957826272064
395,396_n1049,pELS,2.2073980571867624,0.005479184245144669
7526,1008_n1239,CA,2.1967090501121915,0.00367365854876372
8260,1742_n1614,CA,2.17820324005891,0.02117614064857719
17511,128_n2537,exon,2.17286418765827,6.534129293648324e-05
18963,1580_n1181,exon,2.1718423035071566,9.828356225623813e-05
17657,274_n410,exon,2.1718423035071566,9.828356225623813e-05
17663,280_n2055,exon,2.171495514029373,0.00012046914632945237
9525,834_n1207,dELS,2.1700382722799345,2.447493413745347e-10
9863,1172_n2199,dELS,2.165982976648541,1.4211623153790588e-10
7481,963_n301,CA,2.1645962732919255,0.014105255526231644
1209,1210_n1586,pELS,2.159384915792043,0.01152254201675009
6905,387_n2307,CA,2.159384915792043,0.01152254201675009
6981,463_n1535,CA,2.145646543136083,0.005150745822573751
17815,432_n1259,exon,2.1391625615763545,0.0003085910189711218
9516,825_n1298,dELS,2.1244377811094455,1.1001117282968757e-09
17691,308_n305,exon,2.111934766493699,0.00023307500276999714
11220,356_n1304,TF,2.111111111111111,0.04501807577265148
12849,1985_n2221,TF,2.111111111111111,0.04501807577265148
489,490_n2594,pELS,2.111111111111111,0.04501807577265148
10964,100_n2238,TF,2.1068068622025455,0.03656890399898733
12483,1619_n1224,TF,2.1068068622025455,0.03656890399898733
7664,1146_n2617,CA,2.0987590486039296,0.019745953672124075
9139,448_n2302,dELS,2.0974106041923553,1.76226616046461e-08
6715,197_n580,CA,2.097226455348979,0.016108205871892527
6698,180_n1902,CA,2.097226455348979,0.016108205871892527
1064,1065_n2318,pELS,2.0961116880119994,0.013149158794105312
8251,1733_n1809,CA,2.0953502382386766,0.010739393039833312
8392,1874_n2619,CA,2.0947168015230844,0.005864085798653676
1367,1368_n1713,pELS,2.0946907498631635,0.007172435566037871
10283,1592_n2635,dELS,2.0925596686564494,3.5135314770427e-10
10504,1813_n711,dELS,2.053277431230187,2.1010781984265228e-09
17950,567_n756,exon,2.0495932826029915,0.0005424517078468175
6655,137_n1657,CA,2.0438413361169103,0.009917438628471035
8686,2168_n2459,CA,2.0416666666666665,0.012139541515558717
7529,1011_n2544,CA,2.0416666666666665,0.012139541515558717
10560,1869_n2792,dELS,2.0330977484262154,1.2970770243182317e-09
17542,159_n462,exon,2.0063292815338576,0.0004507807607267925
